,EC,Superpathway
313,ec:5.1.3.2,Carbohydrate metabolism
314,ec:5.1.3.3,Carbohydrate metabolism
315,ec:5.1.3.40,Carbohydrate metabolism
316,ec:5.3.1.26,Carbohydrate metabolism
317,ec:5.4.2.2,Carbohydrate metabolism
318,ec:5.4.99.9,Carbohydrate metabolism
319,ec:1.1.1.122,Carbohydrate metabolism
320,ec:1.1.1.129,Carbohydrate metabolism
321,ec:1.1.1.130,Carbohydrate metabolism
322,ec:1.1.1.19,Carbohydrate metabolism
323,ec:1.1.1.20,Carbohydrate metabolism
324,ec:1.1.1.203,Carbohydrate metabolism
325,ec:1.1.1.22,Carbohydrate metabolism
326,ec:1.1.1.316,Carbohydrate metabolism
327,ec:1.1.1.365,Carbohydrate metabolism
328,ec:1.1.1.376,Carbohydrate metabolism
329,ec:1.1.1.46,Carbohydrate metabolism
330,ec:1.1.3.8,Carbohydrate metabolism
331,ec:1.10.3.3,Carbohydrate metabolism
332,ec:1.11.1.11,Carbohydrate metabolism
333,ec:1.13.99.1,Carbohydrate metabolism
334,ec:1.2.1.26,Carbohydrate metabolism
335,ec:1.2.1.3,Carbohydrate metabolism
336,ec:1.3.2.3,Carbohydrate metabolism
337,ec:1.3.3.12,Carbohydrate metabolism
338,ec:1.6.5.4,Carbohydrate metabolism
339,ec:1.8.5.1,Carbohydrate metabolism
340,ec:2.4.1.17,Carbohydrate metabolism
341,ec:2.7.1.194,Carbohydrate metabolism
342,ec:2.7.1.43,Carbohydrate metabolism
343,ec:2.7.1.53,Carbohydrate metabolism
344,ec:2.7.7.44,Carbohydrate metabolism
345,ec:2.7.7.64,Carbohydrate metabolism
346,ec:2.7.7.69,Carbohydrate metabolism
347,ec:3.1.1.15,Carbohydrate metabolism
348,ec:3.1.1.17,Carbohydrate metabolism
349,ec:3.1.1.19,Carbohydrate metabolism
350,ec:3.1.1.25,Carbohydrate metabolism
351,ec:3.1.3.93,Carbohydrate metabolism
352,ec:4.1.1.85,Carbohydrate metabolism
353,ec:4.1.2.18,Carbohydrate metabolism
354,ec:4.1.2.20,Carbohydrate metabolism
355,ec:4.2.1.25,Carbohydrate metabolism
356,ec:4.2.1.40,Carbohydrate metabolism
357,ec:4.2.1.41,Carbohydrate metabolism
358,ec:4.2.1.42,Carbohydrate metabolism
359,ec:4.2.1.43,Carbohydrate metabolism
360,ec:5.1.3.18,Carbohydrate metabolism
361,ec:5.1.3.22,Carbohydrate metabolism
362,ec:5.1.3.4,Carbohydrate metabolism
363,ec:5.4.1.4,Carbohydrate metabolism
364,ec:5.5.1.27,Carbohydrate metabolism
365,ec:1.1.1.100,Lipid metabolism
366,ec:1.14.19.2,Lipid metabolism
367,ec:1.3.1.10,Lipid metabolism
368,ec:1.3.1.104,Lipid metabolism
369,ec:1.3.1.9,Lipid metabolism
370,ec:2.3.1.179,Lipid metabolism
371,ec:2.3.1.180,Lipid metabolism
372,ec:2.3.1.39,Lipid metabolism
373,ec:2.3.1.41,Lipid metabolism
374,ec:2.3.1.85,Lipid metabolism
375,ec:2.3.1.86,Lipid metabolism
376,ec:3.1.2.14,Lipid metabolism
377,ec:3.1.2.21,Lipid metabolism
378,ec:4.2.1.59,Lipid metabolism
379,ec:5.3.3.14,Lipid metabolism
380,ec:6.2.1.3,Lipid metabolism
381,ec:6.4.1.2,Lipid metabolism
382,ec:1.1.1.211,Lipid metabolism
383,ec:1.1.1.330,Lipid metabolism
384,ec:1.1.1.35,Lipid metabolism
385,ec:1.3.1.38,Lipid metabolism
386,ec:1.3.1.8,Lipid metabolism
387,ec:1.3.1.93,Lipid metabolism
388,ec:2.3.1.16,Lipid metabolism
389,ec:2.3.1.199,Lipid metabolism
390,ec:3.1.2.2,Lipid metabolism
391,ec:3.1.2.22,Lipid metabolism
392,ec:4.2.1.134,Lipid metabolism
393,ec:4.2.1.17,Lipid metabolism
394,ec:4.2.1.74,Lipid metabolism
395,ec:1.1.1.1,Lipid metabolism
396,ec:1.1.1.192,Lipid metabolism
397,ec:1.1.1.211,Lipid metabolism
398,ec:1.1.1.35,Lipid metabolism
399,ec:1.1.99.20,Lipid metabolism
400,ec:1.14.14.1,Lipid metabolism
401,ec:1.14.14.80,Lipid metabolism
402,ec:1.14.15.3,Lipid metabolism
403,ec:1.18.1.1,Lipid metabolism
404,ec:1.18.1.3,Lipid metabolism
405,ec:1.18.1.4,Lipid metabolism
406,ec:1.2.1.3,Lipid metabolism
407,ec:1.2.1.48,Lipid metabolism
408,ec:1.2.5.2,Lipid metabolism
409,ec:1.3.3.6,Lipid metabolism
410,ec:1.3.8.1,Lipid metabolism
411,ec:1.3.8.6,Lipid metabolism
412,ec:1.3.8.7,Lipid metabolism
413,ec:1.3.8.8,Lipid metabolism
